1,Dima,Vitek,79464760290,2222222@yandex.ru 
2,Lina,Krasota,79604305843,5555555@gmail.com 
3,Kate,Usenko,79774897703,99999999@yandex.ru 
4,Pasha,Kushnir,79261896784,77777777@mail.ru 
5,Igor,Petrenko,79940474681,5555555@gmail.com 
6,Roma,Ivanov,79772237039,5555555@gmail.com 
7,Lina,Krasota,79289641899,11111@gmail.com 
8,Natasha,Zinchenko,79016677609,44444444@gmail.com 
9,Denis,Petrenko,79102599882,99999999@yandex.ru 
10,Roma,Ivanov,79018579923,5555555@gmail.com 
11,Lana,Fomenko,79260943633,99999999@yandex.ru 
12,Igor,Kushnir,79672697503,88888888@mail.ru 
13,Igor,Fomenko,79886599708,88888888@mail.ru 
14,Sonya,Krasota,79131453989,2222222@yandex.ru 
15,Lana,Petrenko,79171428933,11111@gmail.com 
16,Denis,Morozov,79779525206,333333@mail.ru 
17,Roma,Vitek,79695568077,333333@mail.ru 
18,Pasha,Fomenko,79648237289,5555555@gmail.com 
19,Pasha,Kaleeva,79042884738,333333@mail.ru 
20,Anna,Morozov,79799289745,44444444@gmail.com 
21,Kate,Kushnir,79317674753,44444444@gmail.com 
22,Roma,Morozov,79693450001,77777777@mail.ru 
23,Roma,Petrenko,79374839174,88888888@mail.ru 
24,Dima,Kaleeva,79871024329,88888888@mail.ru 
25,Igor,Kaleeva,79764261875,5555555@gmail.com 
26,Anna,Morozov,79803330593,2222222@yandex.ru 
27,Anna,Ivanov,79583148317,666666666@mail.ru 
28,Pasha,Kushnir,79381600658,5555555@gmail.com 
29,Lana,Nebozenko,79603403078,88888888@mail.ru 
30,Lina,Kushnir,79626777112,11111@gmail.com 
31,Denis,Nebozenko,79282043138,333333@mail.ru 
32,Lina,Ivanov,79265498461,11111@gmail.com 
33,Igor,Kaleeva,79589078588,666666666@mail.ru 
34,Lana,Morozov,79581347695,77777777@mail.ru 
35,Natasha,Nebozenko,79729330191,666666666@mail.ru 
36,Lana,Kushnir,79193217804,88888888@mail.ru 
37,Kate,Ivanov,79189263564,11111@gmail.com 
38,Denis,Ivanov,79395054127,88888888@mail.ru 
39,Kate,Usenko,79558404803,99999999@yandex.ru 
40,Anna,Fomenko,79719442602,44444444@gmail.com 
41,Anna,Vitek,79015091936,88888888@mail.ru 
42,Kate,Fomenko,79609383195,44444444@gmail.com 
43,Kate,Kushnir,79995103503,666666666@mail.ru 
44,Natasha,Fomenko,79491625146,2222222@yandex.ru 
45,Anna,Petrenko,79653457094,88888888@mail.ru 
46,Lina,Morozov,79641916913,5555555@gmail.com 
47,Dima,Vitek,79940232203,333333@mail.ru 
48,Sonya,Nebozenko,79308000266,88888888@mail.ru 
49,Kate,Morozov,79018408313,44444444@gmail.com 
50,Natasha,Usenko,79741046268,44444444@gmail.com 
